"統計名：","市区町村データ 基礎データ（オリジナル）"
"表番号：","0000020102"
"表題：","Ｂ　自然環境"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/Ｂ　自然環境 コード","B1101","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103"
"調査年 コード","調査年","地域 コード","地域","/Ｂ　自然環境","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】"
"2014100000","2014年度","01608","北海道 様似町","","36,430","36,430","3,775","0","32,823","32,815","8","102,183,608","1,400,531"
"2014100000","2014年度","01609","北海道 えりも町","","28,400","28,400","3,017","0","24,785","23,797","988","57,041,970","1,067,682"
"2014100000","2014年度","01610","北海道 新ひだか町","","114,755","114,755","23,307","0","91,544","90,145","1,399","313,182,105","7,104,659"
"2014100000","2014年度","01631","北海道 音更町","","46,602","46,602","33,789","0","13,093","10,999","2,094","341,251,681","14,526,209"
"2014100000","2014年度","01632","北海道 士幌町","","25,919","25,919","19,740","0","6,107","5,664","443","208,077,159","7,776,384"
"2014100000","2014年度","01633","北海道 上士幌町","","69,423","69,423","18,533","0","50,891","50,438","453","150,339,177","3,864,050"
"2014100000","2014年度","01634","北海道 鹿追町","","40,288","40,288","16,515","0","23,916","21,305","2,611","145,153,792","4,952,836"
"2014100000","2014年度","01635","北海道 新得町","","106,383","106,383","21,887","0","84,498","84,456","42","122,693,842","3,256,047"
"2014100000","2014年度","01636","北海道 清水町","","40,225","40,225","22,316","0","17,843","16,982","861","211,936,072","6,251,534"
"2014100000","2014年度","01637","北海道 芽室町","","51,376","51,376","28,896","0","22,514","20,773","1,741","288,986,428","9,549,849"
"2014100000","2014年度","01638","北海道 中札内村","","29,258","29,258","12,664","0","16,544","16,223","321","81,055,252","3,102,297"
"2014100000","2014年度","01639","北海道 更別村","","17,690","17,690","14,561","0","3,111","2,703","408","137,009,634","2,781,017"
"2014100000","2014年度","01641","北海道 大樹町","","81,568","81,568","24,334","154","57,085","55,622","1,463","216,075,427","2,818,633"
"2014100000","2014年度","01642","北海道 広尾町","","59,654","59,654","12,359","0","47,217","46,681","536","173,329,077","3,069,910"
"2014100000","2014年度","01643","北海道 幕別町","","47,764","47,764","31,628","0","16,093","14,777","1,316","341,805,445","9,523,332"
"2014100000","2014年度","01644","北海道 池田町","","37,179","37,179","13,700","0","23,444","22,558","886","259,046,576","3,670,989"
"2014100000","2014年度","01645","北海道 豊頃町","","53,671","53,671","18,488","555","34,624","32,695","1,929","248,691,656","2,696,308"
"2014100000","2014年度","01646","北海道 本別町","","39,191","39,191","17,180","0","22,002","21,503","499","225,288,758","4,079,769"
"2014100000","2014年度","01647","北海道 足寄町","","140,804","140,804","19,136","0","118,404","115,253","3,151","365,141,969","5,653,932"
"2014100000","2014年度","01648","北海道 陸別町","","60,890","60,890","9,330","0","51,440","49,028","2,412","168,183,396","1,090,472"
"2014100000","2014年度","01649","北海道 浦幌町","","72,985","72,985","17,614","0","55,363","54,188","1,175","321,014,506","4,004,840"
"2014100000","2014年度","01661","北海道 釧路町","","25,266","25,266","4,756","131","20,669","18,630","2,039","127,801,344","4,018,656"
"2014100000","2014年度","01662","北海道 厚岸町","","73,926","73,926","19,161","3,231","51,547","38,514","13,033","250,896,387","3,092,153"
"2014100000","2014年度","01663","北海道 浜中町","","42,363","42,363","19,207","376","22,522","15,970","6,552","245,964,994","4,184,806"
"2014100000","2014年度","01664","北海道 標茶町","","109,937","109,937","36,287","799","72,912","57,951","14,961","599,936,704","4,602,822"
"2014100000","2014年度","01665","北海道 弟子屈町","","77,433","77,433","16,184","9,876","51,413","47,824","3,589","190,302,875","4,412,012"
"2014100000","2014年度","01667","北海道 鶴居村","","57,180","57,180","11,714","0","45,433","36,137","9,296","308,029,019","2,528,536"
"2014100000","2014年度","01668","北海道 白糠町","","77,353","77,353","10,041","0","67,049","63,110","3,939","225,266,373","4,824,547"
"2014100000","2014年度","01691","北海道 別海町","","131,963","131,963","80,331","0","51,439","35,480","15,959","855,897,460","13,343,635"
"2014100000","2014年度","01692","北海道 中標津町","","68,487","68,487","35,523","0","32,976","32,061","915","314,046,211","7,643,006"
"2014100000","2014年度","01693","北海道 標津町","","62,468","62,468","20,881","0","41,552","40,746","806","185,859,922","3,102,052"
"2014100000","2014年度","01694","北海道 羅臼町","","39,772","39,772","11,790","0","27,973","27,862","111","16,674,150","963,554"
"2014100000","2014年度","02201","青森県 青森市","","82,461","82,461","25,701","0","56,534","55,881","653","320,035,758","39,862,134"
"2014100000","2014年度","02202","青森県 弘前市","","52,420","52,420","29,466","0","23,021","22,709","312","285,268,423","31,311,275"
"2014100000","2014年度","02203","青森県 八戸市","","30,554","30,554","20,331","0","10,211","10,207","4","235,148,667","43,538,021"
"2014100000","2014年度","02204","青森県 黒石市","","21,705","21,705","7,418","0","14,414","14,241","173","89,499,240","7,819,060"
"2014100000","2014年度","02205","青森県 五所川原市","","40,418","40,418","17,376","1,782","21,503","21,085","418","146,593,244","15,246,735"
"2014100000","2014年度","02206","青森県 十和田市","","72,565","72,565","20,506","3,663","48,984","46,534","2,450","289,260,214","18,395,042"
"2014100000","2014年度","02207","青森県 三沢市","","11,987","11,987","9,783","0","2,205","1,990","215","66,152,519","11,573,870"
